Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"THOMAS,ROBERT E",7/10/18,1/5/19,40000,Department of Agriculture,DELIVERY ORDER,GA,115310
"ROBERTS TIMBER CO., INC",6/28/18,10/6/18,7242,Department of Agriculture,DELIVERY ORDER,GA,115310
TUDOR'S EXTERIOR SERVICES LLC,8/23/18,3/8/20,57350.16,Department of Agriculture,BPA CALL,GA,115310
"SWEAT, LLC",5/30/18,10/11/18,22932,Department of Agriculture,DELIVERY ORDER,GA,115310
RICKY RICH BACKHOE & GRADING I,5/17/18,10/12/18,62609,Department of Agriculture,DELIVERY ORDER,GA,115310
"THOMAS,ROBERT E",5/11/18,8/13/18,46158,Department of Agriculture,DELIVERY ORDER,GA,115310
RICKY RICH BACKHOE & GRADING I,5/9/18,9/30/18,26380,Department of Agriculture,DELIVERY ORDER,GA,115310
"THOMAS,ROBERT E",2/26/18,4/6/18,29970,Department of Agriculture,DELIVERY ORDER,GA,115310
"HELOAIR, INC",11/17/17,11/30/18,270250,Department of Defense,DELIVERY ORDER,GA,115310
GAS SOUTH LLC,6/1/17,5/31/18,162719.71,Department of Homeland Security,DELIVERY ORDER,GA,211111
GAS SOUTH LLC,6/1/17,5/31/19,533775,Department of Defense,DELIVERY ORDER,GA,211111
GAS SOUTH LLC,6/28/18,5/31/19,167077.51,Department of Homeland Security,DELIVERY ORDER,GA,211111
GAS SOUTH LLC,6/1/15,5/31/17,427577.11,Department of Defense,DELIVERY ORDER,GA,211111
"AMERIGAS PROPANE, L.P.",12/1/18,12/31/18,2906.44,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",11/1/18,11/30/18,0,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",10/1/18,10/30/18,9159.85,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",9/1/18,9/30/18,5200,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",8/1/18,8/31/18,5075,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",7/1/18,7/31/18,4775,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",6/1/18,6/30/18,4925,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",5/1/18,5/31/18,4700,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",3/29/18,4/30/18,4550,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",3/1/18,3/31/18,18300,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",2/1/18,2/28/18,23800,Department of Defense,DELIVERY ORDER,GA,211112
"GIGA, INC.",12/28/18,1/7/19,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/27/18,1/6/19,196,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/23/18,1/2/19,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/19/18,12/29/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/19/18,12/29/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/18/18,12/28/18,588,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/14/18,12/24/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/14/18,12/24/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/13/18,12/23/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/9/18,12/19/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/5/18,12/15/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/3/18,12/13/18,196,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/3/18,12/13/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/3/18,12/13/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",12/3/18,12/13/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/29/18,12/9/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/28/18,12/8/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/23/18,12/3/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/23/18,12/3/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/20/18,11/30/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/14/18,11/24/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/14/18,11/24/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/9/18,11/19/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",11/8/18,11/18/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/26/18,11/5/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/22/18,11/1/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/19/18,10/29/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/18/18,10/28/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/17/18,10/27/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/16/18,10/26/18,98,General Services Administration,BPA CALL,GA,211112
"GIGA, INC.",10/13/18,10/23/18,98,General Services Administration,BPA CALL,GA,211112
"AMERIGAS PROPANE, L.P.",1/16/18,1/31/19,29200,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",12/1/17,1/31/18,29200,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",3/10/17,3/31/17,0,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",11/2/16,11/30/16,0,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",9/26/16,10/31/16,0,Department of Defense,DELIVERY ORDER,GA,211112
"AMERIGAS PROPANE, L.P.",8/31/15,9/30/15,0,Department of Defense,DELIVERY ORDER,GA,211112
TRUCK & TRAILER REFRIGERATION SERVICE INC,12/14/18,2/28/19,7199.85,Department of Defense,PURCHASE ORDER,GA,211120
KIPPER TOOL COMPANY,9/17/18,12/17/18,122541.72,Department of Defense,PURCHASE ORDER,GA,211120
BSE PERFORMANCE LLC,5/10/18,6/11/18,20196,Department of the Interior,PURCHASE ORDER,GA,212311
"CROWLEY HOLDINGS, LLC",9/19/17,7/18/18,267498.83,Department of the Interior,DEFINITIVE CONTRACT,GA,212321
"CROWLEY HOLDINGS, LLC",5/1/18,6/15/18,58923.75,Department of Defense,PURCHASE ORDER,GA,212321
"NEW RIVERSIDE OCHRE COMPANY, INC.",8/8/17,2/28/19,679500,Department of Defense,PURCHASE ORDER,GA,212393
"CAIN BICKLEY CHEMICALS, LLC",7/27/18,8/17/18,83840,Department of Agriculture,PURCHASE ORDER,GA,212393
POND CONSTRUCTORS INC,3/19/18,3/18/20,12600247.8,Department of Defense,DEFINITIVE CONTRACT,GA,213112
SOUTHERN CROSS CORP.,6/6/18,6/30/18,2830,Department of Justice,PURCHASE ORDER,GA,213112
POND CONSTRUCTORS INC,4/14/17,4/13/20,27309963.01,Department of Defense,DELIVERY ORDER,GA,213112
POND CONSTRUCTORS INC,12/2/16,12/1/20,19289872.37,Department of Defense,DELIVERY ORDER,GA,213112
POND CONSTRUCTORS INC,8/19/13,2/18/19,16776823.54,Department of Defense,DELIVERY ORDER,GA,213112
POND CONSTRUCTORS INC,6/24/13,12/30/17,14717347,Department of Defense,DELIVERY ORDER,GA,213112
POND CONSTRUCTORS INC,6/5/13,8/31/17,15373169.12,Department of Defense,DELIVERY ORDER,GA,213112
POND CONSTRUCTORS INC,5/28/13,8/31/17,12463834.46,Department of Defense,DELIVERY ORDER,GA,213112
POND CONSTRUCTORS INC,5/17/13,11/12/16,21118535.04,Department of Defense,DELIVERY ORDER,GA,213112
JERED LLC,1/17/18,3/28/18,3660.06,Department of Defense,PURCHASE ORDER,GA,213113
SAMROS ENTERPRISES INC,10/2/18,12/31/18,2035,Department of Defense,PURCHASE ORDER,GA,213113
"GIGA, INC.",6/18/18,10/22/18,2064.75,Department of Defense,PURCHASE ORDER,GA,213113
"ECI DEFENSE GROUP, INC.",4/9/18,3/8/19,40079.45,Department of Defense,PURCHASE ORDER,GA,213113
"ECI DEFENSE GROUP, INC.",3/6/18,2/4/19,44215.68,Department of Defense,PURCHASE ORDER,GA,213113
DUTCH VALLEY SUPPLY CO.,10/17/18,10/15/19,10886.4,Department of Defense,PURCHASE ORDER,GA,213113
"JANEL'S INDUSTRIES, INC.",11/16/18,7/1/19,19698.75,Department of Defense,PURCHASE ORDER,GA,213113
"WENCOR, LLC",5/29/18,12/20/18,21507,Department of Defense,PURCHASE ORDER,GA,213113
"STRATA EQUIPMENT, LLC",7/13/18,9/16/18,6350,Department of Health and Human Services,PURCHASE ORDER,GA,213113
"C&C BOILER SALES & SERVICE, INC.",12/20/17,1/11/18,41138,Department of Defense,PURCHASE ORDER,GA,221111
"AIREKO ENERGY SOLUTION, LLC",4/17/18,4/18/18,4604,Department of the Interior,PURCHASE ORDER,GA,221114
ANDREWS HAMMOCK & POWELL INC,9/19/18,11/19/19,183340,Department of Defense,PURCHASE ORDER,GA,221116
DUTCH VALLEY SUPPLY CO.,11/13/18,2/11/19,3504.32,Department of Defense,PURCHASE ORDER,GA,221118
DUTCH VALLEY SUPPLY CO.,7/30/18,11/26/18,3504.32,Department of Defense,PURCHASE ORDER,GA,221118
"DOUGHERTY, COUNTY OF",10/1/11,9/30/31,1518085.62,Department of Defense,DEFINITIVE CONTRACT,GA,221119
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,3/30/18,12/27/18,8510,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,2/28/17,12/19/18,53379,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,11/20/17,7/9/19,205000,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,9/18/17,10/30/18,45494,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,9/5/17,10/30/18,74588,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,8/17/17,2/28/18,6300,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,8/17/17,6/29/18,8800,Department of Defense,DELIVERY ORDER,GA,221122
WATER GAS & LIGHT COMMISSION,8/31/14,9/15/19,18572.85,Department of Defense,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,9/28/18,11/1/43,4315672,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,4/7/17,4/6/42,2499654.2,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,4/30/18,4/30/28,66246.6,Department of Defense,DELIVERY ORDER,GA,221122
AMICALOLA ELECTRIC MEMBERSHIP CORPORATION,10/1/18,9/30/28,45302.73,Department of Defense,DEFINITIVE CONTRACT,GA,221122
"TALLAPOOSA RIVER ELECTRIC COOPERATIVE, INCORPORATED",9/6/17,9/30/27,7050,Department of Defense,PURCHASE ORDER,GA,221122
"CARROLL ELECTRIC MEMBERSHIP CORPORATION, THE",9/1/17,8/31/27,2720,Department of Defense,PURCHASE ORDER,GA,221122
ALABAMA POWER COMPANY,8/28/17,8/27/27,436200,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,3/1/17,2/28/27,66100,Department of Defense,DELIVERY ORDER,GA,221122
AMICALOLA ELECTRIC MEMBERSHIP CORPORATION,1/15/17,1/14/27,120100,Department of Defense,DEFINITIVE CONTRACT,GA,221122
ETOWAH WATER & SEWER AUTHORITY,8/25/16,8/24/26,35178,Department of Defense,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,6/13/16,6/12/26,412000,Department of Defense,DELIVERY ORDER,GA,221122
COBB ELECTRIC MEMBERSHIP CORPORATION,8/24/16,8/24/26,539000,Department of Defense,DEFINITIVE CONTRACT,GA,221122
"GAINESVILLE, CITY OF (INC)",8/3/16,8/2/26,151405.83,Department of Defense,DEFINITIVE CONTRACT,GA,221122
"DIVERSE POWER INCORPORATED, AN ELECTRIC MEMBERSHIP CORPORATION",1/25/16,1/24/19,695000,Department of Defense,DEFINITIVE CONTRACT,GA,221122
JACKSON ELECTRIC MEMBERSHIP CORPORATION,12/21/15,12/31/20,434095.96,Department of Defense,DEFINITIVE CONTRACT,GA,221122
"TALLAPOOSA RIVER ELECTRIC COOPERATIVE, INCORPORATED",1/20/16,1/31/21,99750,Department of Defense,DEFINITIVE CONTRACT,GA,221122
AMICALOLA ELECTRIC MEMBERSHIP CORPORATION,12/18/13,12/17/18,138266.71,Department of Defense,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,4/10/14,4/30/19,506986.13,Department of Defense,DELIVERY ORDER,GA,221122
ALABAMA POWER COMPANY,6/7/13,6/29/18,649383.12,Department of Defense,DELIVERY ORDER,GA,221122
SAWNEE ELECTRIC MEMBERSHIP CORPORATION,9/11/13,9/30/19,530089.98,Department of Defense,DEFINITIVE CONTRACT,GA,221122
GEORGIA POWER COMPANY,12/27/18,12/31/23,0,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,4/1/18,4/30/19,711541.23,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,4/1/18,3/31/19,1997352,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,4/1/18,3/31/19,6827388,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,9/27/18,1/29/19,0,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,8/27/16,8/26/26,0,Department of Defense,DELIVERY ORDER,GA,221122
FLINT ELECTRIC MEMBERSHIP CORPORATION,12/1/10,11/30/20,125073674.4,Department of Defense,DEFINITIVE CONTRACT,GA,221122
JEFFERSON ENERGY COOPERATIVE,7/22/13,9/30/23,53389.36,Department of Defense,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,9/7/18,9/30/18,634128,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,9/29/17,7/31/18,1698498,Department of Veterans Affairs,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/16,9/30/20,2321245.54,Department of the Treasury,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,4/1/18,3/31/68,1116041.48,Department of Defense,DEFINITIVE CONTRACT,GA,221122
GEORGIA POWER COMPANY,9/22/06,2/4/57,64204808.48,Department of Defense,DEFINITIVE CONTRACT,GA,221122
GEORGIA POWER COMPANY,2/6/04,9/30/18,6399837.15,Department of Defense,DEFINITIVE CONTRACT,GA,221122
GEORGIA POWER COMPANY,7/25/17,1/22/18,105275.19,Office of Personnel Management,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/13,9/30/23,2258606.49,National Archives and Records Administration,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/12,9/30/22,2394613.09,National Archives and Records Administration,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,12/14/18,6/30/20,22795199.81,Department of Defense,DELIVERY ORDER,GA,221122
"CONDITIONED AIR & POWER, INC.",4/5/17,4/28/17,15289.35,Department of Defense,PURCHASE ORDER,GA,221122
"CONDITIONED AIR & POWER, INC.",9/27/16,10/27/16,16189.36,Department of Defense,PURCHASE ORDER,GA,221122
"CONDITIONED AIR & POWER, INC.",5/11/16,6/8/16,0,Department of Defense,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,10/16/18,10/15/19,3659805.76,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,10/19/17,10/19/27,95861.23,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/17,11/15/18,0,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,2/16/17,9/25/19,17964646,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,3/16/17,4/15/17,6430.65,Department of Homeland Security,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,3/20/17,4/20/17,8967.53,Department of Homeland Security,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,6/16/15,7/31/15,8175.65,Department of Homeland Security,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,4/23/13,5/12/18,0,Department of Homeland Security,DELIVERY ORDER,GA,221122
"3DEGREES GROUP, INC.",3/6/18,9/30/18,40000,Department of Health and Human Services,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,9/19/13,6/29/39,20263336,Department of Defense,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/16,3/21/18,812800.55,Department of Justice,DELIVERY ORDER,GA,221122
KIPPER TOOL COMPANY,7/30/18,8/17/18,111749.4,Department of Homeland Security,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,8/30/18,11/24/18,4178.57,Department of Homeland Security,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,7/5/18,9/4/18,5814.1,Department of Homeland Security,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,4/16/18,5/15/18,2366.09,Department of Homeland Security,DELIVERY ORDER,GA,221122
"HOMESTEAD, CITY OF",4/16/18,6/30/18,0,Department of Homeland Security,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,12/17/18,4/24/20,5515.21,Department of Veterans Affairs,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,12/4/18,2/25/19,101087.59,Office of Personnel Management,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,7/25/18,10/31/18,111445.94,Office of Personnel Management,PURCHASE ORDER,GA,221122
"HHCF PROFESSIONAL CONTRACTORS & ENGINEER SERVICES, INC.",6/8/18,7/8/18,50054,Office of Personnel Management,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,4/27/18,6/16/18,120000,Office of Personnel Management,PURCHASE ORDER,GA,221122
"HHCF PROFESSIONAL CONTRACTORS & ENGINEER SERVICES, INC.",2/7/18,3/31/18,59598,Office of Personnel Management,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,1/26/18,3/14/18,103918.43,Office of Personnel Management,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,12/20/17,1/24/18,94255.65,Office of Personnel Management,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,6/25/18,6/25/19,327042,Department of Labor,DELIVERY ORDER,GA,221122
ALABAMA POWER COMPANY,10/1/18,10/22/19,686678.17,Department of Justice,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/18,4/22/19,193952.72,Department of Justice,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,1/1/19,8/21/19,769763.22,Department of Justice,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/17,10/29/18,858181.09,Department of Justice,PURCHASE ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/18,9/30/19,1490000,Department of Justice,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/11/18,9/30/19,195000,Department of Justice,DELIVERY ORDER,GA,221122
GEORGIA POWER COMPANY,10/1/17,12/31/18,1420238.25,Department of Justice,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,5/1/17,5/25/18,760673,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,4/1/17,3/31/18,1939648,Department of Defense,DELIVERY ORDER,GA,221122
CANOOCHEE ELECTRIC MEMBERSHIP CORPORATION,4/1/17,3/31/18,6616404,Department of Defense,DELIVERY ORDER,GA,221122
SOUTHERN COMPANY GAS,4/14/10,9/4/18,4019418.65,Department of Defense,DELIVERY ORDER,GA,221122
"FERRELLGAS, L.P.",11/13/18,12/31/18,13240.25,Department of Defense,DELIVERY ORDER,GA,221210
"FERRELLGAS, L.P.",11/1/18,11/30/18,6140.16,Department of Defense,DELIVERY ORDER,GA,221210
"FERRELLGAS, L.P.",10/1/18,11/30/18,4403.03,Department of Defense,DELIVERY ORDER,GA,221210
"FERRELLGAS, L.P.",6/5/18,9/30/18,195.78,Department of Defense,DELIVERY ORDER,GA,221210
"FERRELLGAS, L.P.",5/24/18,8/31/18,5595.59,Department of Defense,DELIVERY ORDER,GA,221210
SOUTHERN COMPANY GAS,8/27/14,9/8/15,3535080,Department of Defense,DELIVERY ORDER,GA,221210
ATLANTA GAS LIGHT COMPANY,5/22/13,5/21/23,1524445.8,Department of Defense,DEFINITIVE CONTRACT,GA,221210
"INFINITE ENERGY, INC.",4/1/17,10/30/19,29916.82,Department of Veterans Affairs,PURCHASE ORDER,GA,221210
"INFINITE ENERGY, INC.",10/1/16,4/30/18,122560.22,Department of Veterans Affairs,PURCHASE ORDER,GA,221210
GAS SOUTH LLC,10/1/17,5/16/19,552163.58,Department of Veterans Affairs,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,6/1/17,7/18/19,125579.89,Department of Veterans Affairs,DELIVERY ORDER,GA,221210
"SCANA ENERGY MARKETING, INC.",8/1/16,7/31/18,50752.61,Department of Veterans Affairs,PURCHASE ORDER,GA,221210
"INFINITE ENERGY, INC.",4/1/16,3/31/18,30029.78,Department of Veterans Affairs,PURCHASE ORDER,GA,221210
GAS SOUTH LLC,6/1/16,3/27/19,622336.85,Department of Veterans Affairs,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,10/1/17,8/31/18,121000,Department of the Treasury,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,10/1/16,9/30/17,96724.45,Department of the Treasury,DELIVERY ORDER,GA,221210
"AMERIGAS PROPANE, L.P.",6/26/18,6/26/21,170140.43,Department of Defense,PURCHASE ORDER,GA,221210
BATES GAS CO INC,10/19/16,10/31/17,12677.44,Department of Defense,PURCHASE ORDER,GA,221210
SOUTHSTAR ENERGY SERVICES LLC,10/1/10,9/30/20,602581.4,National Archives and Records Administration,PURCHASE ORDER,GA,221210
SOUTHERN COMPANY GAS,11/18/16,1/30/28,1637700,Department of Health and Human Services,DELIVERY ORDER,GA,221210
SOUTHERN COMPANY GAS,5/20/15,5/20/31,8186678.51,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/15,8/31/18,19680,General Services Administration,DEFINITIVE CONTRACT,GA,221210
GAS SOUTH LLC,9/1/15,8/31/18,14400,General Services Administration,DEFINITIVE CONTRACT,GA,221210
GAS SOUTH LLC,9/1/15,8/31/18,4320,General Services Administration,DEFINITIVE CONTRACT,GA,221210
GAS SOUTH LLC,9/1/15,8/31/18,6720,General Services Administration,DEFINITIVE CONTRACT,GA,221210
GAS SOUTH LLC,9/1/15,8/31/18,8160,General Services Administration,DEFINITIVE CONTRACT,GA,221210
"WARNER ROBINS, CITY OF",2/20/14,2/29/20,0,Department of Defense,DEFINITIVE CONTRACT,GA,221210
"OYOLOKOR, CHRISTOPHER I SR",4/16/18,4/15/20,90101.08,Department of Defense,PURCHASE ORDER,GA,221210
"INTERCONN RESOURCES, LLC",11/1/16,3/21/18,149728.81,Department of Justice,DELIVERY ORDER,GA,221210
LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,9/27/01,9/26/51,62887340.15,Department of Defense,DEFINITIVE CONTRACT,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,10200,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,33600,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,5500,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,22200,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,1200,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,21600,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,20400,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,136800,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,7200,General Services Administration,DELIVERY ORDER,GA,221210
GAS SOUTH LLC,9/1/18,8/31/20,24000,General Services Administration,DELIVERY ORDER,GA,221210
